sample_id,iou_score
r005s068_71,0.7082
r052s014_50,0.2900
r001s010_37,0.1902
r017s106_110,0.2294
r040s086_136,0.4521
r010s001_109,0.4754
r002s001_108,0.7296
r003s001_120,0.3559
r034s013_56,0.4457
r052s014_64,0.7135
r040s045_97,0.3407
r009s086_116,0.6016
r009s051_102,0.4857
r011s029_100,0.0000
r031s028_105,0.5054
r003s008_125,0.5106
r004s028_143,0.1400
r009s121_63,0.6286
r042s025_71,0.6866
r010s014_100,0.5750
r052s021_87,1.0000
r031s027_80,0.5500
r034s003_111,0.5393
r009s088_75,0.7857
r004s019_91,0.4224
r038s022_113,0.5764
r031s017_80,0.6735
r011s015_106,0.6216
r009s125_94,0.7083
r052s021_115,0.4747
r001s026_96,0.1096
r004s019_118,0.7626
r038s022_57,0.0000
r038s022_105,0.3188
r038s084_111,0.5441
r005s075_103,0.4886
r023s008_143,0.5876
r031s033_83,0.7712
r040s067_48,0.5643
r015s027_110,0.6538
r001s030_113,0.4957
r038s047_108,0.5792
r009s034_94,0.7667
r031s001_47,0.7639
r031s019_110,1.0000
r009s025_37,0.4872
r011s034_68,0.7500
r009s087_71,0.2807
r031s035_84,0.6137
r040s037_42,0.4787
r001s010_127,0.4812
r052s032_82,0.7471
r040s086_46,0.7198
r009s051_35,0.5254
r003s008_122,0.4524
r052s031_119,0.8214
r048s016_114,0.6860
r034s022_82,1.0000
r004s024_63,0.7220
r040s067_97,0.1652
r040s010_134,0.2900
r004s002_87,0.3467
r009s058_106,0.7200
r004s025_127,0.0768
r017s118_79,0.4848
r001s039_73,0.7500
r048s043_70,0.7656
r034s047_70,1.0000
r019s008_68,0.5520
r028s005_123,0.5879
r040s044_130,0.6685
r010s032_96,0.7619
r034s013_62,0.6256
r010s007_68,0.7500
r047s001_140,0.5251
r038s067_95,0.5714
r031s029_61,0.7097
r009s021_104,0.6612
r034s010_76,0.0000
r001s008_36,0.6512
r038s056_65,0.4977
r009s024_54,0.6429
r052s023_30,1.0000
r023s007_85,0.6538
r005s074_132,0.6421
r024s018_109,0.7059
r038s078_40,0.6817
r052s019_127,0.2379
r027s048_134,0.4341
r039s002_70,0.5706
r001s018_63,0.6786
r052s014_47,0.4211
r034s047_76,0.5333
r010s016_81,0.8030
r047s016_96,0.4545
r052s016_94,0.7037
r048s016_105,0.6094
r038s056_141,0.4652
r002s005_61,0.7500
r047s027_54,0.2174
r047s001_135,0.5273
r002s008_105,0.3802
r015s016_93,0.6960
r018s007_93,0.5038
r001s004_10,0.3239
r004s009_112,0.2503
r019s004_72,0.4363
r002s009_99,0.3347
r052s021_158,0.5625
r019s004_105,0.5926
r015s026_103,0.3768
r028s008_67,0.7018
r001s001_51,0.7179
r042s008_81,0.5438
r038s078_80,0.6654
r004s004_119,0.7143
r047s027_101,0.6667
r038s084_82,0.3979
r005s031_88,0.6648
r028s007_107,0.7500
r038s082_105,1.0000
r040s044_139,0.5236
r015s025_84,0.7386
r011s012_92,0.5794
r028s002_69,0.2751
r004s029_69,0.5705
r047s048_24,0.4598
r042s011_106,0.5857
r010s016_95,0.3934
r001s027_69,0.5857
r004s009_60,0.6922
r010s008_76,0.7167
r040s075_89,0.4447
r005s076_71,1.0000
r005s031_52,0.6643
r028s005_132,0.3514
r048s018_83,0.2961
r052s014_84,0.5941
r005s073_37,0.6176
r052s019_28,0.5000
r052s032_81,0.3574
